financial_year,state,area_of_expenditure,broad_source_of_funding,detailed_source_of_funding,real_expenditure_millions
1997-98,NSW,Administration,Government,Australian Government,315
1997-98,NSW,Administration,Government,State and local,120
1997-98,NSW,Administration,Non-government,Private health insurance funds,314
1997-98,NSW,Aids and appliances,Government,Australian Government,65
1997-98,NSW,Aids and appliances,Non-government,Individuals,168
1997-98,NSW,Aids and appliances,Non-government,Other non-government,18
1997-98,NSW,Aids and appliances,Non-government,Private health insurance funds,78
1997-98,NSW,All other medications,Government,Australian Government,5
1997-98,NSW,All other medications,Non-government,Individuals,559
1997-98,NSW,All other medications,Non-government,Other non-government,16
1997-98,NSW,All other medications,Non-government,Private health insurance funds,16
1997-98,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,1068
1997-98,NSW,Benefit-paid pharmaceuticals,Non-government,Individuals,221
1997-98,NSW,Capital expenditure,Government,Australian Government,19
1997-98,NSW,Capital expenditure,Government,State and local,420
1997-98,NSW,Capital expenditure,Non-government,Other non-government,464
1997-98,NSW,Community health,Government,Australian Government,225
1997-98,NSW,Community health,Government,State and local,504
1997-98,NSW,Community health,Non-government,Private health insurance funds,1
1997-98,NSW,Dental services,Government,Australian Government,60
1997-98,NSW,Dental services,Government,State and local,156
1997-98,NSW,Dental services,Non-government,Individuals,1023
1997-98,NSW,Dental services,Non-government,Other non-government,6
1997-98,NSW,Dental services,Non-government,Private health insurance funds,351
1997-98,NSW,Medical expense tax rebate,Government,Australian Government,84
1997-98,NSW,Medical expense tax rebate,Non-government,Individuals,-84
1997-98,NSW,Medical services,Government,Australian Government,4298
1997-98,NSW,Medical services,Non-government,Individuals,522
1997-98,NSW,Medical services,Non-government,Other non-government,322
1997-98,NSW,Medical services,Non-government,Private health insurance funds,112
1997-98,NSW,Other health practitioners,Government,Australian Government,129
1997-98,NSW,Other health practitioners,Non-government,Individuals,485
1997-98,NSW,Other health practitioners,Non-government,Other non-government,99
1997-98,NSW,Other health practitioners,Non-government,Private health insurance funds,119
1997-98,NSW,Patient transport services,Government,Australian Government,39
1997-98,NSW,Patient transport services,Government,State and local,169
1997-98,NSW,Patient transport services,Non-government,Individuals,2
1997-98,NSW,Patient transport services,Non-government,Other non-government,27
1997-98,NSW,Patient transport services,Non-government,Private health insurance funds,108
1997-98,NSW,Private hospitals,Government,Australian Government,286
1997-98,NSW,Private hospitals,Non-government,Individuals,120
1997-98,NSW,Private hospitals,Non-government,Other non-government,264
1997-98,NSW,Private hospitals,Non-government,Private health insurance funds,940
1997-98,NSW,Public health,Government,Australian Government,140
1997-98,NSW,Public health,Government,State and local,110
1997-98,NSW,Public hospitals,Government,Australian Government,2962
1997-98,NSW,Public hospitals,Government,State and local,4269
1997-98,NSW,Public hospitals,Non-government,Individuals,21
1997-98,NSW,Public hospitals,Non-government,Other non-government,361
1997-98,NSW,Public hospitals,Non-government,Private health insurance funds,212
1997-98,NSW,Research,Government,Australian Government,192
1997-98,NSW,Research,Government,State and local,46
1997-98,NSW,Research,Non-government,Other non-government,61
1997-98,VIC,Administration,Government,Australian Government,203
1997-98,VIC,Administration,Government,State and local,33
1997-98,VIC,Administration,Non-government,Private health insurance funds,185
1997-98,VIC,Aids and appliances,Government,Australian Government,43
1997-98,VIC,Aids and appliances,Non-government,Individuals,287
1997-98,VIC,Aids and appliances,Non-government,Other non-government,9
1997-98,VIC,Aids and appliances,Non-government,Private health insurance funds,28
1997-98,VIC,All other medications,Government,Australian Government,3
1997-98,VIC,All other medications,Government,State and local,15
1997-98,VIC,All other medications,Non-government,Individuals,620
1997-98,VIC,All other medications,Non-government,Other non-government,11
1997-98,VIC,All other medications,Non-government,Private health insurance funds,3
1997-98,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,698
1997-98,VIC,Benefit-paid pharmaceuticals,Non-government,Individuals,149
1997-98,VIC,Capital expenditure,Government,Australian Government,14
1997-98,VIC,Capital expenditure,Government,State and local,318
1997-98,VIC,Capital expenditure,Non-government,Other non-government,178
1997-98,VIC,Community health,Government,Australian Government,174
1997-98,VIC,Community health,Government,State and local,318
1997-98,VIC,Community health,Non-government,Private health insurance funds,0
1997-98,VIC,Dental services,Government,Australian Government,27
1997-98,VIC,Dental services,Government,State and local,66
1997-98,VIC,Dental services,Non-government,Individuals,1005
1997-98,VIC,Dental services,Non-government,Other non-government,3
1997-98,VIC,Dental services,Non-government,Private health insurance funds,146
1997-98,VIC,Medical expense tax rebate,Government,Australian Government,56
1997-98,VIC,Medical expense tax rebate,Non-government,Individuals,-56
1997-98,VIC,Medical services,Government,Australian Government,2860
1997-98,VIC,Medical services,Non-government,Individuals,365
1997-98,VIC,Medical services,Non-government,Other non-government,123
1997-98,VIC,Medical services,Non-government,Private health insurance funds,96
1997-98,VIC,Other health practitioners,Government,Australian Government,90
1997-98,VIC,Other health practitioners,Non-government,Individuals,566
1997-98,VIC,Other health practitioners,Non-government,Other non-government,67
1997-98,VIC,Other health practitioners,Non-government,Private health insurance funds,63
1997-98,VIC,Patient transport services,Government,Australian Government,9
1997-98,VIC,Patient transport services,Government,State and local,102
1997-98,VIC,Patient transport services,Non-government,Individuals,65
1997-98,VIC,Patient transport services,Non-government,Other non-government,12
1997-98,VIC,Patient transport services,Non-government,Private health insurance funds,10
1997-98,VIC,Private hospitals,Government,Australian Government,201
1997-98,VIC,Private hospitals,Non-government,Individuals,150
1997-98,VIC,Private hospitals,Non-government,Other non-government,228
1997-98,VIC,Private hospitals,Non-government,Private health insurance funds,922
1997-98,VIC,Public health,Government,Australian Government,89
1997-98,VIC,Public health,Government,State and local,265
1997-98,VIC,Public hospitals,Government,Australian Government,1983
1997-98,VIC,Public hospitals,Government,State and local,2202
1997-98,VIC,Public hospitals,Non-government,Individuals,84
1997-98,VIC,Public hospitals,Non-government,Other non-government,275
1997-98,VIC,Public hospitals,Non-government,Private health insurance funds,92
1997-98,VIC,Research,Government,Australian Government,209
1997-98,VIC,Research,Government,State and local,57
1997-98,VIC,Research,Non-government,Other non-government,76
1997-98,QLD,Administration,Government,Australian Government,157
1997-98,QLD,Administration,Government,State and local,26
1997-98,QLD,Administration,Non-government,Private health insurance funds,125
1997-98,QLD,Aids and appliances,Government,Australian Government,34
1997-98,QLD,Aids and appliances,Non-government,Individuals,230
1997-98,QLD,Aids and appliances,Non-government,Other non-government,1
1997-98,QLD,Aids and appliances,Non-government,Private health insurance funds,28
1997-98,QLD,All other medications,Government,Australian Government,2
1997-98,QLD,All other medications,Non-government,Individuals,490
1997-98,QLD,All other medications,Non-government,Other non-government,1
1997-98,QLD,All other medications,Non-government,Private health insurance funds,6
1997-98,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,506
1997-98,QLD,Benefit-paid pharmaceuticals,Non-government,Individuals,109
1997-98,QLD,Capital expenditure,Government,Australian Government,10
1997-98,QLD,Capital expenditure,Government,State and local,610
1997-98,QLD,Capital expenditure,Non-government,Other non-government,223
1997-98,QLD,Community health,Government,Australian Government,148
1997-98,QLD,Community health,Government,State and local,757
1997-98,QLD,Community health,Non-government,Private health insurance funds,0
1997-98,QLD,Dental services,Government,Australian Government,29
1997-98,QLD,Dental services,Government,State and local,157
1997-98,QLD,Dental services,Non-government,Individuals,246
1997-98,QLD,Dental services,Non-government,Other non-government,2
1997-98,QLD,Dental services,Non-government,Private health insurance funds,133
1997-98,QLD,Medical expense tax rebate,Government,Australian Government,34
1997-98,QLD,Medical expense tax rebate,Non-government,Individuals,-34
1997-98,QLD,Medical services,Government,Australian Government,2107
1997-98,QLD,Medical services,Non-government,Individuals,338
1997-98,QLD,Medical services,Non-government,Other non-government,53
1997-98,QLD,Medical services,Non-government,Private health insurance funds,67
1997-98,QLD,Other health practitioners,Government,Australian Government,69
1997-98,QLD,Other health practitioners,Non-government,Individuals,259
1997-98,QLD,Other health practitioners,Non-government,Other non-government,24
1997-98,QLD,Other health practitioners,Non-government,Private health insurance funds,53
1997-98,QLD,Patient transport services,Government,Australian Government,38
1997-98,QLD,Patient transport services,Government,State and local,104
1997-98,QLD,Patient transport services,Non-government,Individuals,109
1997-98,QLD,Patient transport services,Non-government,Other non-government,4
1997-98,QLD,Patient transport services,Non-government,Private health insurance funds,14
1997-98,QLD,Private hospitals,Government,Australian Government,292
